,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Mount Pleasant,US,32.7941,-79.8626,81.99,76,0,5.01,clear sky
313,Bodden Town,KY,19.2833,-81.25,87.8,66,20,8.05,few clouds
314,Souillac,MU,-20.5167,57.5167,71.98,73,75,12.66,light rain
315,Karakol,KG,42.4907,78.3936,46.4,32,3,5.03,clear sky
316,Alofi,NU,-19.0595,-169.9187,67.89,100,96,2.3,overcast clouds
317,Pemangkat,ID,1.1667,108.9667,80.24,80,100,8.19,overcast clouds
318,Huanren,CN,41.2647,125.3667,45.59,89,35,1.32,scattered clouds
319,Atasu,KZ,48.6814,71.6433,52.5,24,72,8.1,broken clouds
320,Thunder Bay,CA,48.4001,-89.3168,44.58,65,75,10.36,broken clouds
321,Buenos Aires,AR,-34.6132,-58.3772,66.99,24,0,13.8,clear sky
322,Lompoc,US,34.6391,-120.4579,66.52,85,40,1.01,scattered clouds
323,Ouadda,CF,8.0777,22.4007,71.78,86,85,4.83,light rain
324,Tema,GH,5.667,-0.0166,82.81,78,20,14.97,light rain
325,Batsfjord,NO,70.6345,29.7185,33.73,81,94,6.04,overcast clouds
326,Beringovskiy,RU,63.05,179.3167,29.59,65,85,5.99,overcast clouds
327,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,75,0,6.71,clear sky
328,Chapais,CA,49.7834,-74.8492,53.38,78,100,13.56,light rain
329,Tiksi,RU,71.6872,128.8694,19.49,92,100,5.97,overcast clouds
330,Saldanha,ZA,-33.0117,17.9442,60.85,87,64,17.07,broken clouds
331,Barcelona,ES,41.3888,2.159,77.29,68,20,17.27,few clouds
332,Roosendaal,NL,51.5308,4.4653,57.0,90,100,3.44,overcast clouds
333,Harlingen,US,26.1906,-97.6961,91.36,69,0,9.22,clear sky
334,Lasa,IT,46.6166,10.7002,59.88,82,100,0.87,overcast clouds
335,Brufut,GM,13.3814,-16.7518,89.69,74,75,8.05,thunderstorm
336,Farafangana,MG,-22.8167,47.8333,71.29,77,3,9.95,clear sky
337,Sarlat-La-Caneda,FR,44.889,1.2166,58.77,95,100,2.35,overcast clouds
338,Roald,NO,62.5833,6.1333,53.76,66,75,5.75,broken clouds
339,Ginda,IN,30.6945,78.4932,52.52,81,0,6.29,clear sky
340,Laki,BG,41.85,24.8167,54.03,69,94,3.4,overcast clouds
341,Cap Malheureux,MU,-19.9842,57.6142,71.47,69,0,7.0,clear sky
342,Siderno,IT,38.2779,16.302,68.34,83,100,5.28,overcast clouds
343,Sept-Iles,CA,50.2001,-66.3821,55.92,78,75,12.66,broken clouds
344,Kaabong,UG,3.4836,34.1492,74.03,41,85,14.18,overcast clouds
